"0","2","26","4294967295","0.86","3.36","0.86","3.36","","","","Weiss, seu idiota!"
"","","","","3.36","6.06","3.36","6.06","","","","Comece a fazer sentido, seu livro podre, ou vai se arrepender!"
"","","","","6.06","7.86","6.06","7.86","","","","Talvez eu rasgue suas páginas, uma a uma!"
"","","","","7.86","10","7.86","10","","","","Ou talvez eu o coloque em um maldito forno!"
"","","","","10","13.8","10","13.8","","","","Como alguém com um cérebro tão grande e inteligente pode ser hipnotizado como uma putinha? Huh?"
"","","","","13.8","15.9","13.8","15.9","","","","Oh, Shadowlord! Eu te amo, Shadowlord!"
"","","","","15.9","19","15.9","19","","","","Venha aqui e dê a Weiss um grande beijo molhado, Shadowlord!"
"","","","","19","22","19","22.5","","","","Agora puxe sua cabeça para fora de sua maldita bunda e COMECE AJUDANDO A GENTE CARALHO"
"","","","","24.2","26.3","24.2","26.3","","","","""1.400 anos no futuro..."""
"","","","","35.8","38","35.8","38","","","","""O mundo está à beira da destruição..."""
""