"Não pare! Nunca! Aaaaaaaah!","No stopping! No stopping ever! Aaaaaaaah!","¡Nada de parar! ¡Nunca! ¡Aaah!"
"A ponte!","The bridge!","¡El puente!"
"Droga! Estamos p-p-presos!","Blast! We're t-t-trapped!","¡Maldita sea! ¡Estamos a-a-a-atrapados!"
"Tive uma ideia!","I've got an idea!","¡Tengo una idea!"
"......!","......!","......!"
"Temo que acabou pra gente!","I fear we're done for!","¡Me temo que estamos acabados!"
,,
"Vai ficar tudo bem.","It'll be all right.","Va a salir bien."
"Huh?","Huh?","¿Eh?"
"Sabe... quando era jovem, eu... eu odiava meus olhos.","You know...when I was young, I...I hated my eyes. ","Sabéis... cuando era un niño, yo... odiaba mis ojos. "
"E agora que estou mais velho, odeio o que meu corpo se tornou.","And now that I'm older, I hate what my body has become.","Y, ahora que soy más mayor, odio en lo que se ha convertido mi cuerpo."
"Mas agora existem mais coisas. Algo como... Orgulho. Sabe? Quero dizer...","But there's something else there now. Something like...pride. You know? I mean...","Pero ahora hay algo más. Algo como... orgullo. ¿Sabéis? Quiero decir que..."
"Se não fosse por isso, eu nunca teria me tornado seu amigo.","Without all this, I couldn't have become your friend.","Si no llega a ser por esto, nunca habría sido vuestro amigo."
"Adeus meus amigos. Obrigado por tudo.","Good-bye, my friends. Thank you for everything.","Adiós, amigos míos. Gracias por todo."
"Emil?","Emil?","¿Emil?"
"Por tanto tempo só causei destruição. Mas agora tenho a chance de salvar alguma coisa.","For so long, all I could do was destroy. But now I have a chance to save something.","Durante mucho tiempo, lo único que podía hacer era destruir. Pero ahora tengo la oportunidad de salvar algo."
"Não!","No!","¡No!"
"Sigam em frente, ok?","Now get going, okay?","Venga, andando."
"Emil!","Emil!","¡Emil!"
"Não se preocupem comigo. Vou ficar bem!","Don't worry about me. I'm gonna be fine!","¡No os preocupéis! ¡Estaré bien!"
"Emil! Emil!","Emil! Emil!","¡Emil! ¡Emil!"
"Emil, seu idiota, volta já aqui! ...EMIIIL!","Emil, you jackass, get back here! ...EMIIIL!","¡Emil, gilipollas, vuelve aquí! ¡¡¡Emil!!!"
"...Oh céus.","...Oh, dear.","Ay, señor..."
"Kainé é tão instável, e Weiss não consegue parar de discutir com as pessoas.","Kainé's so unstable, and Weiss can't stop arguing with people.","Kainé es muy inestable, y Weiss siempre está discutiendo con la gente."
"Espero que eles consigam se virar sem mim.","I hope they can hold it together once I'm gone.","Espero que puedan apañárselas sin mí."
"Bem, acho que eles só terão que aprender.","Well, I guess they'll just have to learn.","Bueno, supongo que tendrán que aprender a hacerlo."
"<NIER>...","<NIER>...","Chicos..."
"E...","I...","Yo..."
"Eu quero... ver vocês de novo. Eu quero ver todos vocês novamente. Só mais uma vez.","I want to...see you again. I want to see all of you again. Just one more time.","Quiero... volver a verte. Quiero volver a veros a todos. Solo una vez más."
"Eu... estou assustado. Não... quero... morrer...","I'm...scared. I don't want to...die...","Estoy... asustado. No quiero... morir..."
," ",